source	target	value
0	3	0.07700063632514934
0	11	0.04996783349321482
0	14	0.023755210049286657
0	15	0.0602692656015647
0	17	0.05732849361017456
0	18	0.0940172832231908
0	22	0.04926241211391909
0	24	0.02107409334464506
0	46	0.038502872409969496
0	47	0.0471230066053619
0	54	0.09327653862934782
0	67	0.09033666654669108
0	84	0.04336290481336042
0	86	0.050013408316239204
0	95	0.021790635747106938
0	101	0.03803529597845745
0	102	0.010040250229881774
0	107	0.022310414826334057
0	121	0.08382817057054612
0	124	0.03658635723278332
0	129	0.04527304785743213
0	137	0.02669894481482269
0	142	0.05015710194860669
0	143	0.03038768763667903
0	145	0.08110297875814035
0	149	0.04961185532219694
0	153	0.05883867744048336
0	163	0.07999941251343562
0	172	0.031694536719616695
0	173	0.04351910045351205
0	178	0.02052082083239669
0	181	0.03470773755198088
0	193	0.052802251666327765
0	202	0.051638585298395365
0	203	0.017223056616802488
0	204	0.028304856561500957
0	205	0.006817444391143661
0	208	0.03948202170936873
0	210	0.03244143245045269
0	212	0.03645275472936865
0	227	0.05577210620366299
0	228	0.07690595308838281
0	232	0.0329219043536972
0	238	0.040377994573659315
0	241	0.034355758786200764
0	250	0.050261029031921665
0	255	0.07115258115895233
0	265	0.037277675076279465
0	271	0.023005156232146502
0	278	0.044072461459986494
0	301	0.014451407469114165
0	302	0.03071034255112288
0	309	0.0669811463471893
0	323	0.09572591650914958
0	326	0.03367099175166673
0	331	0.09632414672099124
0	335	0.08660260393010073
0	342	0.04338842336358222
0	344	0.046244736705093485
0	348	0.03888580143885271
0	349	0.0928157414596523
0	369	0.03532163591871693
0	370	0.036583052694334345
0	376	0.011294483268300255
0	380	0.019067669884523263
0	385	0.06385362080741414
0	391	0.04515424492524787
0	394	0.07362783177218467
0	395	0.07290550962801723
0	397	0.036415773763257234
0	403	0.046405258085068186
0	407	0.02982138782893471
0	418	0.004131024563929478
0	430	0.02468704000788336
0	433	0.03918865561422466
0	435	0.06807698385945724
0	438	0.04182994778625513
0	442	0.04600575519830549
0	446	0.03435296913658524
0	453	0.055262070407724365
0	454	0.06442917290689347
0	466	0.06552727308079453
0	470	0.06810551744569261
0	471	0.04212265315853138
0	472	0.09515975611995664
0	473	0.046133189726252584
0	474	0.07465132550216705
0	488	0.05822466085697403
0	491	0.043238072697526
0	494	0.055314099328771564
1	31	0.025346291573447338
1	56	0.041718669348767425
1	85	0.007345573414735575
1	93	0.0027752954762476872
1	123	0.047122285946630905
1	135	0.020996940243628616
1	140	0.06141499866304419
1	183	0.033411236909756836
1	185	0.09499630953786053
1	191	0.07842439168751371
1	207	0.04683703283603391
1	209	0.023924495246691716
1	225	0.04004602541309549
1	235	0.05197636299805431
1	257	0.02559450018073206
1	269	0.06739682341899013
1	284	0.004027381993875977
1	288	0.04394746858183006
1	297	0.06915841472714278
1	310	0.044993890685766744
1	314	0.05803975339914752
1	317	0.048074007832407784
1	351	0.013535948191101503
1	361	0.04012334278360435
1	366	0.009360781646530853
1	382	0.04638999497414864
1	386	0.04697005886325884
1	428	0.056617877576778504
1	456	0.06320216577635229
1	459	0.04300017507900686
1	487	0.058528669888095394
2	53	0.09339630056966673
2	70	0.08465976684873588
2	90	0.08909524681043667
2	159	0.06582066261585906
2	254	0.09444542380270919
2	299	0.06332434070757997
2	303	0.026594201614960518
2	330	0.09206686058057868
2	347	0.023326423012411276
2	411	0.07142007366845349
2	480	0.06972186705315876
3	11	0.05390566185027517
3	14	0.08142942404244657
3	15	0.056298971726796744
3	17	0.02467505618588839
3	18	0.0933109502801608
3	19	0.0970564703673109
3	22	0.04307106595483922
3	24	0.08191799796642839
3	46	0.07833173561652033
3	47	0.06399791473904787
3	54	0.040477140796301776
3	60	0.07582983570770634
3	67	0.08542438857001555
3	82	0.0945629676320089
3	84	0.04888490007393732
3	86	0.05070219696449523
3	95	0.06462855027939333
3	100	0.05908980380748803
3	101	0.076408127515621
3	102	0.07738080551345801
3	107	0.08207448309787271
3	121	0.008802040970518782
3	124	0.06884957123218212
3	129	0.057853786201506816
3	136	0.0848622211637154
3	137	0.07493072237826967
3	142	0.04790403759690515
3	143	0.08244573152675967
3	145	0.08494850478585993
3	149	0.05068903235165363
3	153	0.02424935839880854
3	157	0.09030226554230895
3	163	0.07500916098354304
3	172	0.07750143603250235
3	173	0.07337623992410784
3	178	0.07993421806326038
3	181	0.06797625178924017
3	192	0.09342481916703019
3	193	0.041766324564583186
3	202	0.047277637121645594
3	203	0.08076827173254246
3	204	0.07681896787873865
3	205	0.08327777292551493
3	208	0.04938603590969651
3	210	0.07090488911994255
3	212	0.055941103462587696
3	227	0.036891315181155876
3	228	0.04887374417015074
3	232	0.052716378254771025
